,age_ma,Feature,Ti,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Y,Hf,U,Th
0,222.0,0.0,7.88,0.05,10.5,0.05,4.25,11.6,1.99,61.6,23.497500000000002,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2737.0,12390.0,305.0,134.0
1,222.0,0.0,10.9,1.5550000000000002,61.504999999999995,0.7250000000000001,7.741250000000001,12.561250000000001,2.64375,63.55499999999999,23.497500000000002,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2804.0387500000006,12591.0,503.0,272.0
2,222.0,0.0,6.0,0.02,25.1,0.3,4.41,12.561250000000001,2.3,63.55499999999999,23.497500000000002,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2804.0387500000006,12724.0,639.0,414.0
3,222.0,0.0,9.06,0.28,12.0,0.07,1.88,5.08,1.01,33.8,15.5,194.0,83.0,356.0,89.5,762.0,144.0,1832.0,12894.0,308.0,127.0
4,222.0,0.0,4.93,0.07,16.5,0.15,2.32,8.23,1.52,45.6,19.7,257.0,106.1375,437.54375000000005,97.86749999999999,936.0,171.0,2355.0,12535.0,348.0,155.0
5,222.0,0.0,6.37,0.16,11.5,0.21,2.04,6.1,0.72,32.4,14.5,178.0,76.2,323.0,80.8,683.0,125.0,1669.0,13047.0,328.0,151.0
6,222.0,0.0,8.48,1.5550000000000002,35.7,0.7250000000000001,7.741250000000001,12.3,1.94,57.9,23.0,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2600.0,12825.0,468.0,246.0
7,222.0,0.0,9.09,0.35,14.2,0.37,2.5,7.99,1.91,53.3,22.0,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2692.0,12652.0,362.0,149.0
8,222.0,0.0,11.5,0.49,11.7,0.07,3.2,7.08,1.69,43.3,18.5,233.0,101.0,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2258.0,12336.0,324.0,105.0
9,222.0,0.0,5.52,0.48,14.7,0.38,7.741250000000001,12.561250000000001,2.64375,63.55499999999999,23.497500000000002,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2804.0387500000006,12766.0,396.0,224.0
10,222.0,0.0,8.49,1.5550000000000002,21.6,0.63,3.72,9.46,1.83,57.2,23.497500000000002,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2804.0387500000006,12978.0,556.0,319.0
11,222.0,0.0,9.24,1.5550000000000002,21.1,0.68,7.741250000000001,12.561250000000001,2.64375,63.55499999999999,23.497500000000002,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2804.0387500000006,12898.0,429.0,215.0
12,222.0,0.0,10.0,1.5550000000000002,23.7,0.18,3.71,10.7,1.89,63.55499999999999,23.497500000000002,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2804.0387500000006,12580.0,608.0,402.0
13,222.0,0.0,5.81,1.5550000000000002,61.504999999999995,0.7250000000000001,7.741250000000001,12.561250000000001,2.64375,63.55499999999999,22.3,259.21625,106.1375,437.54375000000005,97.86749999999999,914.0,172.0,2370.0,12741.0,442.0,245.0
14,222.0,0.0,10.8,1.5550000000000002,32.1,0.7250000000000001,7.741250000000001,9.85,1.75,54.8,21.8,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2528.0,12697.0,485.0,286.0
15,222.0,0.0,5.65,1.5550000000000002,35.1,0.7250000000000001,7.741250000000001,12.561250000000001,2.64375,63.55499999999999,23.497500000000002,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2804.0387500000006,12599.0,421.0,231.0
16,222.0,0.0,8.99,1.5550000000000002,33.2,0.08,3.01,12.561250000000001,2.33,63.55499999999999,23.497500000000002,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2804.0387500000006,13224.0,765.0,500.0
17,222.0,0.0,11.8,1.5550000000000002,25.7,0.09,4.13,10.9,2.31,63.55499999999999,23.497500000000002,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2804.0387500000006,12981.0,750.0,539.0
18,222.0,0.0,9.45,1.5550000000000002,16.0,0.13,3.32,8.06,1.64,45.8,20.1,244.0,103.0,430.0,97.86749999999999,851.0,163.0,2255.0,13186.0,492.0,326.0
19,222.0,0.0,11.3,0.04,17.7,0.7250000000000001,7.741250000000001,12.561250000000001,2.64375,63.55499999999999,23.497500000000002,259.21625,106.1375,437.54375000000005,97.86749999999999,922.0,172.63875000000002,2804.0387500000006,12884.0,399.0,189.0
20,222.0,0.0,8.37,0.04,19.2,0.17,3.92,8.55,2.12,63.55499999999999,23.497500000000002,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2804.0387500000006,12759.0,524.0,308.0
21,222.0,0.0,6.12,1.5550000000000002,61.504999999999995,0.7250000000000001,7.741250000000001,12.561250000000001,2.64375,63.55499999999999,23.497500000000002,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2804.0387500000006,13119.0,663.0,392.0
22,222.0,0.0,14.4,0.77,25.7,0.46,3.61,10.5,1.87,63.55499999999999,23.497500000000002,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2804.0387500000006,13142.0,592.0,353.0
23,156.0,0.0,10.27,1.5550000000000002,61.504999999999995,0.7250000000000001,7.741250000000001,12.561250000000001,2.26,41.67,12.41,159.7,55.26,248.76,59.89,651.65,86.52,1532.2,8624.99,139.9,125.8
24,132.0,0.0,16.89,1.5550000000000002,60.58,0.7250000000000001,7.741250000000001,12.26,1.88,63.55,23.3,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,170.96,2804.0387500000006,8797.78,622.96,701.7125000000001
25,113.0,0.0,7.15,1.5550000000000002,20.64,0.7250000000000001,7.741250000000001,8.78,1.3,44.75,15.41,214.41,76.21,354.5,80.63,840.51,116.9,2090.95,10075.63,160.16,165.04
26,110.0,0.0,10.77,1.5550000000000002,16.26,0.7250000000000001,7.741250000000001,7.35,1.19,35.73,12.28,176.91,64.54,301.38,68.67,706.32,107.48,1792.43,10057.96,126.53,133.47
27,140.0,0.0,7.74,1.5550000000000002,61.504999999999995,0.7250000000000001,7.741250000000001,12.561250000000001,2.64375,63.55499999999999,18.23,232.13,77.69,340.21,77.55,798.84,108.0,2060.21,9584.49,194.57,241.35
28,163.0,0.0,10.79,1.5550000000000002,54.97,0.7250000000000001,7.741250000000001,12.561250000000001,2.34,59.68,18.5,243.39,82.26,371.29,84.41,884.93,119.23,2192.36,9887.31,151.27,148.26
29,114.0,0.0,5.88,1.5550000000000002,61.504999999999995,0.7250000000000001,7.741250000000001,12.561250000000001,2.64375,63.55499999999999,23.497500000000002,259.21625,102.85,437.54375000000005,97.86749999999999,936.725,130.67,2693.54,9362.3,150.84,158.42
30,132.0,0.0,9.23,0.62,11.16,0.4,4.45,9.75,1.9,53.85,18.37,253.67,86.15,384.36,89.96,936.725,121.61,2324.95,8137.27,167.72,168.95
31,130.0,0.0,4.0,0.1,14.93,0.07,1.5,4.45,0.6,30.35,11.55,170.8,62.33,292.87,72.2,818.67,102.03,1731.17,9839.6,392.0,311.58
32,165.0,0.0,8.6,0.09,5.53,0.08,1.47,3.4,0.84,21.74,8.27,118.95,42.33,202.05,49.55,569.7,73.26,1212.25,7944.25,103.87,70.88
33,127.0,0.0,11.63,1.5550000000000002,53.9,0.7250000000000001,7.741250000000001,12.561250000000001,2.64375,63.55499999999999,23.497500000000002,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,163.9,2804.0387500000006,8605.44,244.39,336.36
34,109.0,0.0,9.54,0.09,7.66,0.1,1.81,4.41,0.8,27.04,9.85,144.69,53.66,255.38,60.67,641.9,94.81,1519.55,10057.02,119.35,106.54
35,109.0,0.0,6.79,0.3,6.88,0.08,1.05,3.5,0.62,20.73,7.58,112.83,41.46,195.3,47.05,536.72,69.54,1149.38,9555.13,112.01,78.04
36,140.0,0.0,12.8,1.5550000000000002,14.44,0.7250000000000001,7.741250000000001,8.7,1.71,44.33,15.56,221.96,77.67,362.84,84.38,901.11,121.96,2160.9,9344.5,156.38,160.65
37,107.0,0.0,6.37,1.5550000000000002,32.75,0.7250000000000001,7.741250000000001,12.561250000000001,1.4,44.39,14.67,203.52,70.94,332.1,75.4,806.27,112.72,1980.35,11071.95,167.21,153.54
38,118.0,0.0,7.59,0.12,7.64,0.12,1.72,4.34,0.86,32.22,12.23,183.05,67.79,331.87,77.27,811.26,127.55,1941.2,10749.89,192.4,198.71
39,109.0,0.0,10.13,0.27,7.75,0.17,3.15,9.5,1.84,59.74,21.09,259.21625,102.25,437.54375000000005,97.86749999999999,936.725,154.07,2792.5,10129.71,155.71,161.2
40,111.0,0.0,9.43,0.24,6.49,0.15,1.62,3.91,0.74,22.97,8.98,130.22,48.18,228.8,54.04,562.58,86.74,1350.48,11520.88,97.74,92.97
41,110.0,0.0,7.57,1.5550000000000002,13.68,0.7250000000000001,7.741250000000001,6.09,0.96,30.62,10.89,156.58,55.61,264.55,61.36,656.08,96.29,1572.51,10997.47,114.23,96.38
42,115.0,0.0,6.73,0.43,8.65,0.25,1.42,1.9,0.71,15.78,6.01,94.24,37.41,197.07,54.39,656.03,101.65,1167.41,9641.7,129.47,61.34
43,111.0,0.0,13.8,1.5550000000000002,21.66,0.09,1.69,4.65,0.99,29.0,10.11,144.31,54.34,254.62,62.38,680.28,91.84,1532.39,9444.66,341.1,354.74
44,126.0,0.0,23.19,0.03,13.16,0.38,6.81,12.561250000000001,2.64375,63.55499999999999,22.59,259.21625,98.8,425.05,97.86749999999999,936.725,129.75,2632.67,7727.4,211.25,265.46
45,148.0,0.0,6.41,0.21,16.69,0.07,0.54,2.38,0.34,12.87,4.95,72.03,27.91,136.06,35.14,403.99,55.25,841.96,9866.38,277.15,193.4
46,153.0,0.0,8.37,0.25,7.38,0.1,0.47,1.72,0.78,13.06,5.48,82.31,33.81,177.12,47.74,584.61,92.97,1051.47,10201.45,79.34,44.11
47,142.0,0.0,9.15,0.13,9.69,0.12,1.49,4.05,1.7,24.33,8.58,120.27,44.05,211.16,52.1,617.8,89.88,1326.34,8361.53,132.94,100.78
48,142.0,0.0,12.6,1.5550000000000002,33.33,0.7250000000000001,7.741250000000001,6.41,0.93,29.25,10.41,146.2,56.02,264.24,66.18,708.95,95.75,1613.51,10111.45,319.72,311.87
49,113.0,0.0,8.62,0.11,9.41,0.04,0.84,2.34,1.08,17.65,6.63,97.92,39.47,203.66,55.49,673.34,107.3,1251.75,10013.32,133.9,88.61
50,115.0,0.0,9.82,0.66,20.56,0.29,2.17,4.3,0.64,21.44,8.22,116.68,42.64,205.31,52.86,595.3,76.95,1240.48,9730.3,336.38,274.66
51,274.0,0.0,7.32,0.33,4.32,0.04,0.37,1.3,0.47,8.82,3.57,54.88,22.52,122.54,34.61,446.15,69.64,730.31,9483.02,61.94,21.32
52,131.0,0.0,15.3,1.5550000000000002,48.53,0.7250000000000001,7.741250000000001,8.37,0.7,31.75,11.13,153.06,58.85,280.78,72.26,819.8,111.4,1731.6,10257.11,707.09,619.94
53,110.0,0.0,13.53,0.15,20.04,0.14,2.08,4.66,0.91,27.92,10.28,144.27,52.85,253.79,60.01,626.65,92.37,1535.52,10000.96,269.93,308.31
